iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.75,100,100,3566,0,100,80,73,482,0,0,1891,0,0,8,881,8,123,100,0.01496,0,3.0,0.0432,0.1165,,73,0,9,18,0,0,0.59,0.59,0.01,0.07,0.18,0.06,0.0,0.09,90,1,0.0216,73,3493,0.0335,2,11,1472,45092,0.7802,25,0.0722,0.9998,0.4492,0.9692,0.3678,39.8482,24.8536,60.1018,0.63,0.62,0.07,0.76,0.8289,0.1,0.03,0.3,0.62,0.8871,0.1,0.1613,2.9839,0.6159,0.0681,0.6255,0.1623,0.0714,0.7742,24.3158,0.63,0.0,0.07,0.17,0.02,0.11,0,74.3,1310.7,717.2,2103.1
11,0.75,100,100,3653,0,100,78,68,466,0,0,1952,0,0,8,961,9,109,55,0.015293,0,3.0,0.0345,0.1103,,68,0,15,17,0,0,0.57,0.57,0.0,0.07,0.15,0.06,0.0,0.15,91,1,0.0216,68,3585,0.0345,0,12,1572,48745,0.7967,25,0.0722,0.9999,0.44,0.9748,0.3579,40.1991,24.4268,60.1756,0.72,0.73,0.05,0.78,0.9231,0.06,0.0,0.0,0.6,0.9667,0.04,0.0667,1.6667,0.5673,0.074,0.5781,0.1674,0.0714,0.79,23.2564,0.72,0.0,0.03,0.11,0.01,0.13,0,79.5,1359.1,688.3,2128.3
12,0.75,100,100,3702,0,100,78,72,463,0,0,2022,0,0,8,958,4,108,27,0.013204,0,3.0,0.0363,0.1151,,72,0,15,13,0,0,0.63,0.63,0.01,0.03,0.13,0.05,0.0,0.15,92,0,0.0158,72,3630,0.0339,0,13,1672,52447,0.811,25,0.0715,0.9999,0.448,0.9776,0.3759,40.4161,24.4215,60.2696,0.61,0.6,0.06,0.7,0.8714,0.07,0.01,0.1429,0.57,0.9298,0.06,0.1053,2.1579,0.5747,0.0707,0.5204,0.1654,0.0637,0.7066,25.5429,0.61,0.0,0.04,0.16,0.0,0.19,0,83.6,1536.0,739.0,2360.5
13,0.75,100,100,3561,0,100,84,78,505,0,0,1931,1,1,8,882,2,124,46,0.013731,0,3.0,0.0337,0.0777,20.0,78,0,12,10,0,0,0.72,0.72,0.01,0.0,0.12,0.03,0.0,0.12,90,0,0.0158,78,3483,0.0339,1,14,1772,56008,0.823,25,0.0712,0.9998,0.4354,0.972,0.3723,40.3165,24.5958,59.902,0.61,0.59,0.09,0.73,0.8356,0.11,0.01,0.0909,0.53,0.9623,0.07,0.1321,1.717,0.5247,0.0704,0.5463,0.1647,0.062,0.6251,25.0137,0.61,0.0,0.06,0.16,0.05,0.12,0,73.3,1598.0,735.1,2408.5
14,0.75,100,100,3517,0,100,71,65,440,0,0,1889,0,0,11,908,6,131,83,0.013357,0,3.0,0.0505,0.1352,,65,0,15,20,0,0,0.56,0.56,0.0,0.06,0.21,0.02,0.0,0.15,98,0,0.0066,65,3452,0.0347,0,15,1872,59525,0.8335,25,0.0709,0.9999,0.4592,0.9664,0.3914,41.2445,25.6948,60.3207,0.65,0.67,0.11,0.74,0.8784,0.13,0.04,0.3077,0.71,0.8732,0.13,0.1831,2.4789,0.6569,0.0626,0.4651,0.164,0.0595,0.6194,25.5676,0.65,0.0,0.05,0.13,0.02,0.15,0,76.8,1692.5,753.7,2523.5
15,0.75,100,100,3426,0,100,77,68,452,0,0,1864,1,1,8,884,6,103,37,0.015467,0,3.0,0.0383,0.1046,44.0,68,0,14,18,0,0,0.59,0.59,0.0,0.04,0.21,0.02,0.0,0.14,94,0,0.0018,68,3358,0.0354,2,16,1972,62951,0.8425,25,0.0709,0.9999,0.4312,0.9692,0.3546,41.2892,26.058,60.5617,0.68,0.69,0.1,0.8,0.85,0.12,0.02,0.1667,0.58,0.9483,0.04,0.069,1.7069,0.5812,0.0629,0.4475,0.1693,0.056,0.587,25.9,0.68,0.0,0.06,0.16,0.01,0.09,0,75.9,1681.1,736.0,2494.2
16,0.75,100,100,3561,0,100,77,72,461,0,0,1903,0,0,6,938,7,101,38,0.013451,0,3.0,0.0356,0.1154,,72,0,12,16,0,0,0.61,0.61,0.0,0.04,0.19,0.04,0.0,0.12,97,0,0.0158,72,3489,0.034,0,17,2072,66512,0.851,25,0.0704,0.9999,0.4699,0.9748,0.3608,41.9363,26.5542,61.0608,0.61,0.61,0.11,0.78,0.7821,0.11,0.01,0.0909,0.6,0.95,0.09,0.15,2.3,0.5904,0.0622,0.4849,0.1666,0.0577,0.5973,25.1795,0.61,0.0,0.12,0.13,0.02,0.12,0,77.6,2164.2,713.9,2957.0
17,0.75,100,100,3481,0,100,78,74,476,0,0,1873,0,0,11,894,6,103,60,0.013075,0,3.0,0.033,0.1173,,74,0,5,21,0,0,0.62,0.62,0.0,0.06,0.24,0.03,0.0,0.05,96,0,0.0,74,3407,0.0344,0,18,2172,69993,0.8584,25,0.0704,0.9999,0.4518,0.9804,0.372,41.2864,25.9627,59.6522,0.74,0.75,0.12,0.85,0.8706,0.13,0.01,0.0769,0.74,0.8919,0.13,0.1757,2.3649,0.7096,0.0623,0.4501,0.1581,0.0595,0.58,26.8588,0.74,0.01,0.04,0.1,0.02,0.09,0,80.9,2195.2,765.9,3043.8
18,0.75,100,100,3624,0,100,68,62,404,0,0,1896,0,0,10,1033,3,88,63,0.012951,0,3.0,0.0686,0.1648,,62,0,21,17,0,0,0.51,0.51,0.0,0.07,0.18,0.03,0.0,0.21,97,1,0.0292,62,3562,0.0352,5,19,2272,73617,0.8654,25,0.0701,0.9999,0.46,0.972,0.3331,41.6998,26.52,60.3918,0.7,0.71,0.08,0.77,0.9091,0.09,0.01,0.1111,0.59,0.9153,0.06,0.1017,2.0508,0.6002,0.0681,0.4968,0.1687,0.0602,0.6318,25.6623,0.7,0.0,0.04,0.14,0.01,0.11,0,81.2,2603.5,715.2,3401.0
19,0.75,100,100,3703,0,100,81,73,490,0,0,1988,1,1,2,963,6,126,60,0.013484,0,3.0,0.0402,0.0869,17.0,73,0,16,11,0,0,0.65,0.65,0.0,0.02,0.14,0.03,0.0,0.16,94,0,0.0061,73,3630,0.0336,0,20,2372,77320,0.8718,25,0.0698,0.9999,0.4272,0.9776,0.3643,41.6944,27.1995,61.0278,0.68,0.69,0.14,0.85,0.8,0.17,0.03,0.1765,0.66,0.9394,0.11,0.1667,1.8939,0.6355,0.0563,0.449,0.1628,0.0525,0.5433,25.8118,0.68,0.0,0.1,0.13,0.01,0.08,0,81.9,2499.4,731.2,3313.6
20,0.75,100,100,3542,0,100,84,79,520,0,0,1927,1,2,5,854,4,129,35,0.012601,0,3.0,0.0281,0.0815,26.0,79,0,10,11,0,0,0.69,0.69,0.0,0.05,0.13,0.03,0.0,0.1,99,0,0.0018,79,3463,0.0338,1,21,2472,80862,0.8774,25,0.0691,0.9999,0.4114,0.972,0.3555,42.6413,26.6134,61.9723,0.6,0.61,0.08,0.71,0.8451,0.1,0.01,0.1,0.59,0.9153,0.08,0.1356,1.9661,0.5586,0.0669,0.4901,0.1677,0.0556,0.5905,26.2394,0.6,0.0,0.05,0.16,0.03,0.16,0,71.4,2849.6,768.0,3690.6
21,0.75,100,100,3664,0,100,86,74,507,0,0,1976,0,0,6,979,6,128,42,0.014899,0,3.0,0.0307,0.0959,,74,0,13,13,0,0,0.6,0.6,0.0,0.06,0.18,0.03,0.0,0.13,98,0,0.0015,74,3590,0.0337,0,22,2572,84526,0.8827,25,0.0697,0.9998,0.4446,0.9776,0.3473,42.7776,26.636,62.0817,0.64,0.64,0.11,0.75,0.8533,0.13,0.02,0.1538,0.59,0.9661,0.03,0.0508,1.7119,0.5851,0.0626,0.44,0.1643,0.0506,0.5425,25.8667,0.64,0.0,0.05,0.15,0.04,0.12,0,80.0,3444.4,737.8,4263.1
22,0.75,100,100,3778,0,100,77,70,459,0,0,2020,0,0,5,1015,4,122,57,0.010619,0,3.0,0.0465,0.0859,,70,0,21,9,0,0,0.6,0.6,0.0,0.04,0.1,0.05,0.0,0.21,99,0,0.0061,70,3708,0.0321,0,23,2672,88304,0.8878,25,0.0688,0.9999,0.395,0.9748,0.3276,44.4554,26.7417,62.7615,0.73,0.74,0.13,0.83,0.8795,0.13,0.01,0.0769,0.72,0.9028,0.06,0.0833,2.0556,0.6643,0.057,0.4459,0.1579,0.0538,0.5708,26.5783,0.73,0.01,0.04,0.08,0.04,0.1,0,76.4,2957.0,782.1,3817.7
23,0.75,100,100,3677,0,100,76,70,458,0,0,1992,1,1,11,955,3,107,56,0.011508,0,3.0,0.0427,0.114,40.0,70,0,15,15,0,0,0.61,0.61,0.0,0.04,0.17,0.03,0.0,0.15,99,0,0.0,70,3607,0.0337,0,24,2772,91981,0.8922,25,0.0691,0.9999,0.3493,0.9832,0.3363,44.4056,27.2752,62.775,0.71,0.7,0.14,0.86,0.8256,0.15,0.0,0.0,0.66,0.9394,0.08,0.1212,2.1212,0.64,0.0622,0.4517,0.1672,0.0575,0.5287,27.5116,0.71,0.0,0.08,0.15,0.01,0.05,0,80.2,3186.4,768.3,4036.5
24,0.75,100,100,3532,0,100,75,67,441,0,0,1864,0,0,8,939,6,98,58,0.011549,0,3.0,0.0417,0.1349,,67,0,15,18,0,0,0.58,0.58,0.0,0.05,0.17,0.05,0.0,0.15,100,0,0.0158,67,3465,0.0343,0,25,2872,95513,0.8962,25,0.0682,0.9999,0.4425,0.9748,0.3579,46.0059,27.6567,64.5857,0.71,0.7,0.11,0.8,0.8875,0.12,0.01,0.0833,0.73,0.9041,0.1,0.137,2.5205,0.7096,0.0539,0.4326,0.1623,0.0468,0.5118,26.775,0.71,0.0,0.05,0.11,0.02,0.11,0,78.7,3084.5,770.2,3935.2
25,0.75,100,100,3522,0,100,76,70,455,0,0,1915,1,1,8,908,11,96,67,0.011736,0,3.0,0.0422,0.1017,16.0,70,0,11,19,0,0,0.67,0.67,0.0,0.02,0.12,0.08,0.0,0.11,100,0,0.0046,70,3452,0.0334,0,26,2972,99035,0.8999,25,0.068,0.9999,0.4123,0.9804,0.3427,44.8104,27.1567,62.7751,0.71,0.73,0.16,0.79,0.8987,0.17,0.0,0.0,0.66,0.9242,0.08,0.1212,2.3182,0.6571,0.0603,0.4078,0.1607,0.0541,0.5429,27.038,0.71,0.01,0.03,0.1,0.04,0.11,0,78.4,2872.8,777.2,3730.0
