iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
20,8527,0.3413,24,19,0.0,30.0,0.0,0.005477293860167265,0.20794327557086945,0.21181994676589966,0.30053332448005676,-0.09194281697273254,0.023584796115756035,0.33609485626220703,0.002717117080464959,0.018423395231366158,0.7912731170654297,64,0.0146,0.0,1,0,9,0,6,0.833,,,,,,,0.11619605869054794,0.6456929445266724,2.1465816497802734,0.01501,,0.0417
21,8955,0.3333,24,19,0.2,30.0,0.2,0.0037386862095445395,0.2568669021129608,0.27199622988700867,0.28821560740470886,-0.09418508410453796,0.020692162215709686,0.3335050344467163,0.0031185816042125225,0.015022668987512589,0.7750200629234314,64,0.012,0.2,2,0,4,0,9,0.889,0.15,0.6999,0.021,1,46,1,0.12152599543333054,0.6112581491470337,2.1495561599731445,0.0153,0.0,0.0417
22,9345,0.3254,24,19,0.0,29.38,0.0,0.0026276796124875546,0.24166417121887207,0.2368636280298233,0.3278173804283142,-0.09695171564817429,0.02196677029132843,0.37475019693374634,0.0020975933875888586,0.012170705944299698,0.694974422454834,64,0.0236,0.0,3,0,7,1,5,0.8,,,,,,,0.13950401544570923,0.6526081562042236,2.0964536666870117,0.01509,,0.0417
23,9741,0.3175,24,19,0.0,30.0,0.0,0.004689743276685476,0.24711552262306213,0.2535160183906555,0.3335588276386261,-0.09985426068305969,0.02566770277917385,0.3749001622200012,0.002483339048922062,0.014355058781802654,0.5673016309738159,64,0.0268,0.0,3,0,7,0,6,0.833,,,,,,,0.1760161817073822,0.6092828512191772,2.067115545272827,0.01499,,0.0417
24,10138,0.3095,24,19,0.0,30.0,0.0,0.0039210389368236065,0.20297810435295105,0.21055394411087036,0.33892831206321716,-0.09047085046768188,0.037510212510824203,0.34664905071258545,0.0023966121952980757,0.015459347516298294,0.8644550442695618,64,0.0107,0.0,3,0,6,0,7,0.857,,,,,,,0.10465651750564575,0.6092165112495422,2.032365560531616,0.01499,,0.0417
25,10566,0.3016,24,19,0.0,30.0,0.0,0.005470705684274435,0.21954034268856049,0.23778420686721802,0.6490054726600647,-0.09382236003875732,0.02747860923409462,0.6846826076507568,0.0018275888869538903,0.006376052275300026,0.7491742968559265,64,0.017,0.0,2,0,5,0,9,0.889,,,,,,,0.12523436546325684,0.6289126873016357,2.031881809234619,0.01514,,0.0417
26,10990,0.2937,24,19,0.0,30.0,0.0,0.004121560603380203,0.2041538655757904,0.1894487738609314,0.5377923250198364,-0.09712928533554077,0.025204773992300034,0.5799744129180908,0.0014227413339540362,0.00907522439956665,0.7227919101715088,64,0.0198,0.0,2,0,9,0,5,0.6,,,,,,,0.13438069820404053,0.6054248213768005,2.007857084274292,0.01483,,0.0417
27,11447,0.2857,24,18,0.125,30.0,0.125,0.0029592455830425024,0.25310349464416504,0.2622954845428467,0.36609286069869995,-0.09803460538387299,0.04126637428998947,0.37368243932724,0.0016254797810688615,0.01582454703748226,0.7375518679618835,64,0.0122,0.125,1,0,7,0,7,0.857,,,,,,,0.13291892409324646,0.6156336069107056,2.0005791187286377,0.01485,,0.0417
28,11876,0.2778,24,18,0.0,30.0,0.0,0.005189947318285704,0.24982206523418427,0.22986283898353577,0.4273281693458557,-0.09878470003604889,0.07371799647808075,0.37387141585350037,0.0016991756856441498,0.009610881097614765,0.760996401309967,64,0.026,0.0,2,0,5,0,9,1.0,0.1244,0.6838,0.042,2,46,0,0.1298096776008606,0.7902092933654785,2.1255388259887695,0.01507,0.0,0.0417
29,12241,0.2698,24,18,0.1429,30.0,0.1429,0.003079812740907073,0.2454068958759308,0.2462117075920105,0.29451265931129456,-0.09620346128940582,0.01607508957386017,0.35335737466812134,0.0013901913771405816,0.01041717454791069,0.7492862939834595,64,0.0108,0.143,4,0,6,0,5,1.0,,,,,,,0.12839347124099731,0.5644718408584595,2.1094305515289307,0.01511,,0.0417
30,12668,0.2619,24,18,0.0,30.0,0.0,0.005953576881438494,0.2907428741455078,0.27848881483078003,0.4094144403934479,-0.09514448791742325,0.037879932671785355,0.42008495330810547,0.0019017478916794062,0.017428206279873848,0.7117660045623779,64,0.0106,0.0,2,0,6,1,7,1.0,,,,,,,0.13367383182048798,0.6161192059516907,1.894103765487671,0.01516,,0.0417
31,13064,0.254,24,18,0.0,30.0,0.0,0.003382274415344,0.22113686800003052,0.22738443315029144,0.36784228682518005,-0.09811925143003464,0.034425850957632065,0.39269691705703735,0.001706775394268334,0.008825819008052349,0.8342013359069824,64,0.0421,0.0,3,0,5,0,8,0.875,,,,,,,0.11762058734893799,0.6455132961273193,2.069248914718628,0.01523,,0.0417
32,13554,0.246,24,18,0.3333,30.0,0.3333,0.003725017886608839,0.23780375719070435,0.2435821294784546,0.31881457567214966,-0.09435442090034485,0.034548524767160416,0.3394128084182739,0.0019609371665865183,0.009318297728896141,1.050497055053711,64,0.0204,0.333,0,0,4,0,10,0.8,,,,,,,0.08981882035732269,0.6103639006614685,2.1311910152435303,0.01542,,0.0417
33,13976,0.2381,24,18,0.2,29.8,0.2,0.00395392207428813,0.20854561030864716,0.20392239093780518,0.27682459354400635,-0.09399966895580292,0.018990235403180122,0.32641610503196716,0.0017435093177482486,0.012855352833867073,0.8614155650138855,64,0.0454,0.2,2,0,7,1,4,0.75,,,,,,,0.10912232100963593,0.6120895147323608,2.1483702659606934,0.01531,,0.0417
34,14403,0.2302,24,17,0.0,30.0,0.0,0.0030706217512488365,0.243824765086174,0.2367948740720749,0.3815141022205353,-0.0971715897321701,0.034506797790527344,0.4030182659626007,0.0017698925221338868,0.013307618908584118,0.6689608097076416,64,0.0232,0.0,2,0,6,1,7,1.0,,,,,,,0.14525753259658813,0.6199315786361694,2.0332486629486084,0.01534,,0.0417
