iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
16,0.5,100,100,2943,0,100,86,84,521,0,0,1573,1,2,9,185,2,0.0211,0.0767,32.0,84,0,1,15,0,0,97,0,0.0158,84,2859,0.0308,0,17,2072,56246,0.8238,25,0.076,0.9953,0.3222,0.9776,0.2893,0.5,0.48,0.02,0.56,0.8929,0.03,0.01,0.3333,0.0842,0.7045,0.1758,0.0788,0.9425,25.875,0.5,0.0,0.05,0.16,0.07,0.22,0,46.3,1248.0,553.3,1847.8
17,0.4778,100,100,3005,0,100,82,81,488,0,0,1534,0,0,5,194,2,0.0262,0.0853,,81,0,2,17,0,0,96,0,0.0,81,2924,0.0311,6,18,2172,59251,0.8327,25,0.0731,0.9961,0.3052,0.9832,0.2898,,,,,,,,,,,,,,,,,,,,,0,47.0,1376.4,0.0,1423.7
18,0.4556,100,100,3054,0,100,79,77,463,0,0,1471,0,0,5,197,2,0.0286,0.095,,77,0,5,18,0,0,97,0,0.01,77,2977,0.0319,1,19,2272,62305,0.8409,25,0.0739,0.9966,0.3155,0.986,0.2807,0.62,0.6,0.04,0.65,0.9538,0.04,0.0,0.0,0.0804,0.5076,0.1782,0.0654,0.6719,28.4154,0.62,0.0,0.01,0.15,0.05,0.17,1,47.3,1543.2,572.3,2165.8
19,0.4333,100,100,3074,0,100,88,85,525,0,0,1472,0,0,7,186,2,0.0189,0.0552,,85,0,3,12,0,0,94,0,0.0047,85,2989,0.0314,1,20,2372,65379,0.8484,25,0.0752,0.9962,0.3119,0.9748,0.276,,,,,,,,,,,,,,,,,,,,,0,47.8,1704.2,0.0,1752.3
20,0.4111,100,100,2861,0,100,80,78,473,0,0,1294,1,2,7,184,5,0.0246,0.0749,14.0,78,0,3,19,0,0,99,0,0.0009,78,2783,0.0312,5,21,2472,68240,0.8547,25,0.0754,0.9964,0.3244,0.9776,0.2876,0.47,0.47,0.03,0.54,0.8704,0.03,0.0,0.0,0.0825,0.6702,0.1701,0.0667,0.7729,25.4444,0.47,0.01,0.05,0.15,0.09,0.23,0,43.9,1715.7,540.7,2300.6
21,0.3889,100,100,3125,0,100,83,81,490,0,0,1385,1,7,11,201,1,0.0243,0.0724,26.0,81,0,2,17,0,0,98,0,0.0,81,3044,0.0303,6,22,2572,71365,0.8611,25,0.0778,0.9962,0.3368,0.9748,0.2832,,,,,,,,,,,,,,,,,,,,,0,53.3,1748.2,0.0,1801.9
22,0.3667,100,100,3306,0,100,83,78,481,0,0,1320,6,22,6,212,2,0.0226,0.0658,34.5,78,0,10,12,0,0,99,0,0.0031,78,3228,0.0307,1,23,2672,74671,0.8673,25,0.0748,0.9968,0.3691,0.972,0.3031,0.48,0.48,0.04,0.54,0.8889,0.06,0.02,0.3333,0.078,0.5049,0.1808,0.0559,0.5798,30.4259,0.48,0.0,0.05,0.06,0.13,0.28,0,48.3,1996.8,624.9,2670.3
23,0.3444,100,100,3164,0,100,79,77,469,0,0,1276,3,10,7,169,0,0.026,0.1053,31.0,77,0,7,16,0,0,99,0,0.0,77,3087,0.0314,8,24,2772,77835,0.8727,25,0.077,0.9966,0.392,0.9664,0.3034,,,,,,,,,,,,,,,,,,,,,0,52.0,2205.7,0.0,2258.0
24,0.3222,100,100,3005,0,100,72,71,425,0,0,1160,2,14,6,191,6,0.0344,0.1256,35.5,71,0,6,23,0,0,100,0,0.0158,71,2934,0.0337,6,25,2872,80840,0.8774,25,0.0767,0.9973,0.3571,0.9804,0.3123,0.7,0.69,0.08,0.74,0.9459,0.09,0.02,0.2222,0.0779,0.5166,0.1796,0.0664,0.7375,29.7162,0.7,0.0,0.01,0.15,0.08,0.06,1,47.4,2071.7,590.1,2709.7
25,0.3,100,100,3188,0,100,77,76,453,0,0,1128,6,31,3,215,2,0.0292,0.1166,34.83,76,0,10,14,0,0,100,0,0.0158,76,3112,0.032,3,26,2972,84028,0.882,25,0.0761,0.9969,0.3754,0.972,0.3075,0.47,0.46,0.0,0.56,0.8393,0.0,0.0,,0.0954,0.7266,0.1875,0.0829,0.8813,28.0536,0.47,0.0,0.03,0.31,0.06,0.13,0,55.4,2020.1,537.5,2613.2
