iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.75,100,100,3552,0,100,79,68,462,0,0,1893,0,0,8,876,7,117,50,0.0483,0.1184,,68,0,14,18,0,0,90,0,0.0177,68,3484,0.0336,2,11,1472,45940,0.7842,25,0.115,0.9966,0.1592,0.9832,0.1501,33.3762,14.6238,47.992,0.43,0.42,0.01,0.5,0.86,0.03,0.01,0.3333,0.46,0.8043,0.1,0.2174,3.6522,0.4663,0.0935,0.7727,0.1698,0.0804,0.9658,22.94,0.43,0.0,0.04,0.17,0.05,0.31,0,68.0,1238.1,747.2,2054.4
11,0.75,100,100,3710,0,100,77,68,453,0,0,1993,0,0,8,976,8,94,41,0.0369,0.106,,68,0,15,17,0,0,91,0,0.015,68,3642,0.0342,0,12,1572,49650,0.8004,25,0.115,0.9963,0.1784,0.9776,0.1386,32.5314,14.0175,49.2187,0.3,0.28,0.0,0.63,0.4762,0.0,0.0,,0.16,0.9375,0.01,0.0625,2.5,0.1996,0.0907,0.8255,0.1817,0.0925,1.1807,27.4921,0.3,0.0,0.25,0.23,0.02,0.2,0,75.7,1381.4,793.3,2252.2
12,0.75,100,100,3761,0,100,75,67,436,0,0,2060,0,0,10,987,6,96,40,0.043,0.1236,,67,0,17,16,0,0,92,0,0.0158,67,3694,0.0336,0,13,1672,53411,0.8144,25,0.1164,0.9965,0.1732,0.9804,0.1573,32.8357,14.52,47.9702,0.55,0.51,0.02,0.7,0.7857,0.02,0.0,0.0,0.51,0.8627,0.09,0.1765,2.2157,0.4869,0.0849,0.7649,0.1686,0.0852,0.9687,26.8429,0.55,0.0,0.14,0.13,0.01,0.17,1,75.5,1481.2,778.9,2336.6
13,0.75,100,100,3618,0,100,83,78,499,0,0,1956,0,0,6,906,3,119,39,0.034,0.0771,,78,0,13,9,0,0,90,0,0.0158,78,3540,0.0338,0,14,1772,57029,0.8262,25,0.1154,0.9971,0.1853,0.9776,0.152,35.925,15.2268,50.0451,0.49,0.46,0.01,0.69,0.7101,0.01,0.0,0.0,0.4,0.8,0.08,0.2,2.175,0.4212,0.0815,0.7681,0.1637,0.0754,0.8597,26.0145,0.49,0.01,0.15,0.1,0.01,0.24,0,69.3,1596.7,765.5,2432.5
14,0.75,100,100,3538,0,100,73,67,439,0,0,1898,0,0,6,918,5,124,52,0.0533,0.1287,,67,0,17,16,0,0,98,0,0.0046,67,3471,0.0345,0,15,1872,60567,0.8363,25,0.1166,0.9967,0.1549,0.986,0.1494,32.766,14.1339,47.9631,0.53,0.48,0.04,0.75,0.7067,0.04,0.01,0.25,0.46,0.8913,0.11,0.2391,1.7826,0.4749,0.0908,0.7977,0.1744,0.0838,1.0029,26.3067,0.53,0.0,0.15,0.17,0.03,0.12,0,72.5,1792.9,771.1,2637.7
15,0.75,100,100,3512,0,100,76,66,468,0,0,1889,2,6,7,905,6,126,51,0.0393,0.1066,27.0,66,0,17,17,0,0,94,0,0.0023,66,3446,0.0352,2,16,1972,64079,0.8453,25,0.117,0.9968,0.1526,0.9888,0.149,31.7079,14.0107,46.5755,0.57,0.54,0.04,0.71,0.8028,0.05,0.01,0.2,0.5,0.96,0.03,0.06,1.94,0.4884,0.0789,0.7687,0.1665,0.07,0.8688,26.2113,0.57,0.0,0.1,0.1,0.02,0.21,1,73.5,1977.0,765.7,2817.8
16,0.75,100,100,3614,0,100,81,70,474,0,0,1949,0,0,8,947,4,103,69,0.0362,0.106,,70,0,16,14,0,0,97,0,0.0158,70,3544,0.0338,0,17,2072,67693,0.8536,25,0.1161,0.9968,0.1475,0.986,0.1472,32.483,14.6353,46.558,0.52,0.52,0.02,0.64,0.8125,0.03,0.0,0.0,0.61,0.8033,0.17,0.2787,2.2787,0.5918,0.0752,0.7502,0.1651,0.0691,0.8832,26.3125,0.52,0.02,0.02,0.14,0.03,0.27,0,78.3,2068.6,785.0,2933.1
17,0.75,100,100,3536,0,100,79,70,478,0,0,1884,0,0,9,906,7,130,59,0.0333,0.1165,,70,0,11,19,0,0,96,0,0.0,70,3466,0.0344,0,18,2172,71229,0.8608,25,0.1164,0.9968,0.1481,0.9832,0.1341,32.1683,14.1504,46.0853,0.36,0.36,0.01,0.43,0.8372,0.01,0.0,0.0,0.47,0.5745,0.21,0.4468,3.6383,0.4684,0.0819,0.7657,0.18,0.0777,0.9845,24.3953,0.36,0.0,0.04,0.21,0.05,0.34,0,70.7,2169.2,765.1,3006.0
18,0.75,100,100,3668,0,100,71,62,426,0,0,1916,0,0,10,1036,8,106,62,0.07,0.1527,,62,0,19,19,0,0,97,1,0.035,62,3606,0.0349,3,19,2272,74897,0.8677,25,0.1187,0.9968,0.1597,0.9776,0.1476,32.3092,14.9326,47.2195,0.54,0.51,0.01,0.76,0.7105,0.01,0.0,0.0,0.45,0.9111,0.08,0.1778,1.9556,0.4463,0.0819,0.7363,0.1652,0.0794,0.8211,26.3553,0.54,0.0,0.1,0.16,0.02,0.18,0,72.1,2341.7,785.3,3200.2
19,0.75,100,100,3727,0,100,78,69,479,0,0,2001,0,0,6,976,6,124,73,0.0441,0.0954,,69,0,17,14,0,0,94,0,0.001,69,3658,0.0334,0,20,2372,78624,0.8739,25,0.1172,0.997,0.1689,0.9804,0.1498,34.1836,14.8796,48.8937,0.49,0.48,0.01,0.66,0.7424,0.01,0.0,0.0,0.42,0.8571,0.09,0.2143,1.7857,0.4286,0.0819,0.8011,0.1675,0.0739,0.8767,26.3182,0.49,0.0,0.11,0.09,0.01,0.3,0,76.2,2407.8,769.5,3254.3
20,0.75,100,100,3558,0,100,81,74,489,0,0,1931,1,1,8,869,6,123,32,0.0333,0.0899,36.0,74,0,11,15,0,0,99,0,0.0046,74,3484,0.0339,0,21,2472,82182,0.8794,25,0.1173,0.9969,0.1625,0.9832,0.1518,33.5147,15.3507,47.481,0.47,0.46,0.0,0.68,0.6912,0.0,0.0,,0.38,0.7895,0.07,0.1842,2.0,0.3931,0.0886,0.7868,0.1718,0.0829,1.142,23.5441,0.47,0.0,0.18,0.14,0.01,0.2,0,70.1,2408.6,703.5,3183.1
21,0.75,100,100,3667,0,100,84,74,492,0,0,1972,0,0,5,986,9,121,53,0.0314,0.1118,,74,0,11,15,0,0,98,0,0.0118,74,3593,0.0337,0,22,2572,85849,0.8845,25,0.1149,0.9976,0.1808,0.9776,0.1595,33.2172,15.2012,47.7593,0.37,0.36,0.0,0.42,0.881,0.01,0.01,1.0,0.49,0.6122,0.18,0.3673,3.6735,0.4839,0.0837,0.8251,0.1744,0.0907,0.9277,27.2619,0.37,0.0,0.03,0.15,0.09,0.36,0,72.2,2494.6,840.4,3409.5
22,0.75,100,100,3780,0,100,75,67,444,0,0,2023,0,0,6,1026,4,114,36,0.0489,0.0894,,67,0,23,10,0,0,99,0,0.0,67,3713,0.0318,0,23,2672,89629,0.8894,25,0.1175,0.9969,0.1707,0.9832,0.1572,33.2974,14.8527,48.5153,0.52,0.49,0.01,0.77,0.6753,0.01,0.0,0.0,0.38,0.9211,0.06,0.1579,1.9211,0.3914,0.0896,0.7758,0.1748,0.0846,0.9594,26.3636,0.52,0.0,0.18,0.13,0.03,0.14,0,71.4,2716.0,768.2,3556.4
23,0.75,100,100,3724,0,100,78,70,457,0,0,2008,0,0,9,974,3,110,35,0.0416,0.1065,,70,0,18,12,0,0,99,0,0.002,70,3654,0.0337,0,24,2772,93353,0.8938,25,0.1156,0.9975,0.1564,0.986,0.146,33.5453,14.125,49.5082,0.51,0.49,0.01,0.63,0.8095,0.02,0.01,0.5,0.52,0.8269,0.13,0.25,1.9808,0.5461,0.082,0.7509,0.1609,0.0794,0.8686,26.127,0.51,0.0,0.06,0.13,0.01,0.29,0,73.4,2783.0,750.4,3607.6
24,0.75,100,100,3537,0,100,76,68,465,0,0,1870,1,1,9,928,4,112,66,0.0416,0.1257,36.0,68,0,14,18,0,0,100,0,0.0158,68,3469,0.0345,0,25,2872,96890,0.8977,25,0.1178,0.9971,0.1799,0.9776,0.1607,33.8865,16.2197,48.055,0.37,0.37,0.0,0.65,0.5692,0.0,0.0,,0.34,0.7059,0.11,0.3235,2.7941,0.3565,0.0898,0.7762,0.179,0.0896,1.1846,27.1692,0.37,0.0,0.19,0.2,0.04,0.2,0,71.8,3586.4,800.8,4459.9
