iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.75,100,100,3615,0,100,82,76,493,0,0,1948,1,1,5,884,3,110,28,0.015012,0,3.0,0.0397,0.0972,38.0,76,0,13,11,0,0,0.65,0.65,0.0,0.07,0.11,0.04,0.0,0.13,91,1,0.0211,76,3539,0.0329,4,11,1471,45754,0.7838,25,0.1734,0.9905,0.4402,0.9636,0.3544,41.5357,21.3406,60.6878,0.36,0.36,0.01,0.46,0.7826,0.01,0.0,0.0,0.23,0.8261,0.04,0.1739,2.3913,0.2729,0.1082,0.7852,0.1829,0.0909,1.0451,23.7174,0.36,0.0,0.08,0.3,0.04,0.22,0,50.4,1194.8,382.7,1629.0
11,0.75,100,100,3546,0,100,74,68,445,0,0,1908,1,1,10,930,6,87,11,0.013915,0,3.0,0.0369,0.1187,26.0,68,0,14,18,0,0,0.6,0.6,0.0,0.06,0.16,0.04,0.0,0.14,92,1,0.0687,68,3478,0.0344,0,12,1571,49300,0.7994,25,0.1776,0.9889,0.3944,0.972,0.3526,41.3367,22.3799,60.6892,0.57,0.51,0.01,0.75,0.76,0.01,0.0,0.0,0.45,0.9111,0.09,0.2,2.4,0.4516,0.0946,0.8646,0.1679,0.0898,0.9379,22.7867,0.57,0.0,0.14,0.12,0.01,0.16,0,48.5,1552.1,389.6,1991.3
12,0.75,100,100,3688,0,100,76,67,432,0,0,2031,1,1,12,950,3,95,47,0.011279,0,3.0,0.0399,0.0985,29.0,67,0,17,16,0,0,0.6,0.6,0.01,0.04,0.14,0.04,0.0,0.17,91,0,0.0062,67,3621,0.0334,1,13,1671,52988,0.8133,25,0.1714,0.9915,0.3815,0.9664,0.3331,41.6708,23.726,59.8328,0.7,0.69,0.05,0.81,0.8642,0.06,0.02,0.3333,0.55,0.9091,0.04,0.0727,2.3636,0.5567,0.0865,0.7821,0.1665,0.081,0.8652,22.9753,0.7,0.0,0.08,0.11,0.02,0.09,1,55.3,1497.9,387.1,1942.2
13,0.75,100,100,3713,0,100,80,74,484,0,0,1999,1,1,4,941,3,118,56,0.012475,0,3.0,0.0373,0.0785,44.0,74,0,19,7,0,0,0.67,0.67,0.01,0.01,0.09,0.03,0.0,0.19,94,0,0.0,74,3639,0.0333,2,14,1771,56701,0.8256,25,0.1709,0.9898,0.3533,0.9776,0.326,42.1126,21.7566,61.7478,0.53,0.53,0.01,0.68,0.7794,0.03,0.01,0.3333,0.48,0.875,0.07,0.1458,2.2708,0.4951,0.0872,0.8314,0.1648,0.0789,0.9586,24.1765,0.53,0.0,0.09,0.12,0.02,0.24,0,52.7,1479.4,407.7,1941.2
14,0.75,100,100,3628,0,100,78,72,477,0,0,1946,1,1,9,942,1,130,46,0.014664,0,3.0,0.0449,0.1126,26.0,72,0,15,13,0,0,0.6,0.6,0.0,0.05,0.17,0.03,0.0,0.15,96,0,0.0076,72,3556,0.0345,0,15,1871,60329,0.836,25,0.1706,0.9905,0.3863,0.9636,0.3426,41.6727,23.3287,61.4825,0.64,0.62,0.01,0.7,0.9143,0.01,0.0,0.0,0.63,0.8095,0.12,0.1905,2.6508,0.5978,0.0812,0.7393,0.1672,0.072,0.81,23.8714,0.64,0.0,0.04,0.12,0.01,0.19,0,49.9,1608.3,401.1,2060.3
15,0.75,100,100,3529,0,100,77,67,452,0,0,1910,1,1,9,908,8,106,33,0.014992,0,3.0,0.037,0.1043,39.0,67,0,16,17,0,0,0.58,0.58,0.0,0.03,0.19,0.04,0.0,0.16,97,0,0.0,67,3462,0.0344,1,16,1971,63858,0.8451,25,0.1709,0.9913,0.3769,0.972,0.3353,42.9424,23.519,62.5182,0.66,0.64,0.07,0.73,0.9041,0.07,0.0,0.0,0.6,0.8833,0.09,0.15,2.8167,0.5916,0.0853,0.7381,0.1659,0.0784,0.8193,23.8904,0.66,0.0,0.05,0.11,0.01,0.17,0,49.5,1786.7,390.9,2227.7
16,0.75,100,100,3633,0,100,76,73,469,0,0,1948,3,7,3,948,11,94,28,0.013821,0,3.0,0.0382,0.1089,23.67,73,0,10,17,0,0,0.66,0.66,0.0,0.03,0.17,0.04,0.0,0.1,99,0,0.0158,73,3560,0.0341,0,17,2071,67491,0.8534,25,0.1685,0.9914,0.3998,0.9692,0.34,44.0466,23.8898,63.0751,0.42,0.37,0.0,0.57,0.7368,0.0,0.0,,0.37,0.8378,0.09,0.2432,2.6486,0.3882,0.0934,0.7742,0.1731,0.0789,0.8607,25.0702,0.42,0.0,0.08,0.34,0.0,0.16,0,52.2,1766.1,378.7,2198.1
17,0.75,100,100,3624,0,100,79,72,466,0,0,1931,0,0,10,954,7,122,34,0.013151,0,3.0,0.0396,0.1112,,72,0,9,19,0,0,0.61,0.61,0.0,0.07,0.2,0.03,0.0,0.09,98,1,0.0687,72,3552,0.0338,1,18,2171,71115,0.8609,25,0.1697,0.9904,0.4198,0.9664,0.3539,44.9676,23.8457,64.9188,0.58,0.58,0.05,0.75,0.7733,0.05,0.02,0.4,0.52,0.9231,0.05,0.0962,1.7885,0.5106,0.087,0.8172,0.1698,0.0782,0.8446,24.8533,0.58,0.0,0.08,0.15,0.01,0.18,0,49.9,1879.7,405.2,2335.3
18,0.75,100,100,3859,0,100,73,67,454,0,0,2011,0,0,7,1093,2,112,44,0.012858,0,3.0,0.0649,0.1434,,67,0,21,12,0,0,0.57,0.57,0.0,0.05,0.16,0.01,0.0,0.21,97,2,0.0687,67,3792,0.0337,2,19,2271,74974,0.8681,25,0.1686,0.9919,0.3914,0.972,0.3426,44.349,22.8348,62.4581,0.61,0.61,0.01,0.83,0.7349,0.02,0.0,0.0,0.5,0.98,0.05,0.1,1.98,0.4714,0.0877,0.8253,0.1733,0.0848,0.8863,24.1446,0.61,0.0,0.14,0.16,0.0,0.09,0,52.3,1908.7,387.5,2350.1
19,0.75,100,100,3683,0,100,78,70,459,0,0,1999,4,4,8,950,6,105,28,0.01528,0,3.0,0.0423,0.1083,36.25,70,0,15,15,0,0,0.65,0.65,0.0,0.01,0.15,0.04,0.0,0.15,97,0,0.0167,70,3613,0.0332,1,20,2371,78657,0.8743,25,0.1699,0.9914,0.3633,0.9748,0.342,45.5032,23.884,62.8123,0.72,0.7,0.04,0.82,0.878,0.05,0.02,0.4,0.64,0.9219,0.05,0.0781,2.1562,0.6053,0.0809,0.6748,0.1665,0.0733,0.7865,24.5366,0.72,0.0,0.04,0.14,0.0,0.1,1,52.9,2469.0,391.6,2915.6
20,0.75,100,100,3516,0,100,83,73,517,0,0,1904,2,3,11,834,4,151,32,0.013514,0,3.0,0.0361,0.0831,37.0,73,0,12,15,0,0,0.64,0.64,0.0,0.03,0.17,0.04,0.0,0.12,97,1,0.0687,73,3443,0.0338,0,21,2471,82173,0.8796,25,0.17,0.9907,0.398,0.9692,0.3414,42.4748,24.1216,61.5876,0.43,0.42,0.02,0.66,0.6515,0.02,0.0,0.0,0.35,0.8571,0.06,0.1714,3.4286,0.36,0.0953,0.7985,0.1729,0.0866,0.895,24.4848,0.43,0.0,0.17,0.21,0.03,0.16,0,49.7,2748.2,412.5,3211.5
21,0.75,100,100,3779,0,100,76,66,445,0,0,2011,0,0,6,1053,3,109,20,0.016937,0,3.0,0.0393,0.1166,,66,0,20,14,0,0,0.57,0.57,0.0,0.03,0.16,0.04,0.0,0.2,98,0,0.0,66,3713,0.0338,0,22,2571,85952,0.8849,25,0.17,0.991,0.3778,0.972,0.347,41.236,23.5686,59.715,0.56,0.58,0.02,0.72,0.7778,0.02,0.0,0.0,0.5,0.84,0.08,0.16,3.0,0.5184,0.0924,0.8165,0.1628,0.083,0.9462,23.6528,0.56,0.0,0.11,0.11,0.0,0.22,0,54.9,3071.4,391.5,3518.9
22,0.75,100,100,3702,0,100,77,66,447,0,0,1978,0,0,7,992,4,116,39,0.011821,0,3.0,0.044,0.0856,,66,0,20,14,0,0,0.58,0.58,0.01,0.04,0.12,0.05,0.0,0.2,100,0,0.0062,66,3636,0.0332,0,23,2671,89654,0.8897,25,0.1669,0.9915,0.3887,0.9664,0.3501,43.4961,24.0227,60.3927,0.56,0.55,0.03,0.75,0.7467,0.03,0.01,0.3333,0.6,0.9167,0.1,0.1667,2.9333,0.5465,0.0892,0.7895,0.1648,0.0859,0.9051,24.04,0.56,0.0,0.12,0.14,0.03,0.15,0,51.2,2899.9,406.8,3358.7
23,0.75,100,100,3542,0,100,72,66,440,0,0,1905,2,3,8,915,8,112,26,0.01428,0,3.0,0.0443,0.1105,30.5,66,0,15,19,0,0,0.61,0.61,0.0,0.02,0.17,0.05,0.0,0.15,100,0,0.0158,66,3476,0.0334,2,24,2771,93196,0.8939,25,0.1687,0.9914,0.3812,0.972,0.3538,44.5938,22.7003,63.1101,0.7,0.67,0.04,0.84,0.8333,0.04,0.0,0.0,0.54,0.8889,0.06,0.1111,2.2407,0.5561,0.0794,0.7127,0.1635,0.0753,0.8259,24.9881,0.7,0.0,0.04,0.11,0.02,0.13,0,52.9,3425.1,412.7,3891.5
24,0.75,100,100,3555,0,100,72,60,421,0,0,1879,1,2,11,940,9,110,46,0.012979,0,3.0,0.0471,0.1458,43.0,60,0,17,23,0,0,0.53,0.53,0.0,0.05,0.14,0.11,0.0,0.17,99,0,0.0045,60,3495,0.0352,0,25,2871,96751,0.8978,25,0.1675,0.9923,0.4072,0.9664,0.3414,43.4846,24.6309,62.7641,0.65,0.64,0.02,0.78,0.8333,0.02,0.0,0.0,0.59,0.9322,0.04,0.0678,1.8814,0.5651,0.0829,0.6892,0.1701,0.0784,0.8284,24.2051,0.65,0.0,0.08,0.16,0.0,0.11,0,49.4,3955.1,383.8,4389.4
25,0.75,100,100,3706,0,100,82,72,499,0,0,2003,0,0,9,939,2,132,54,0.013137,0,3.0,0.0396,0.0793,,72,0,16,12,0,0,0.64,0.64,0.0,0.04,0.13,0.03,0.0,0.16,100,0,0.01,72,3634,0.0322,1,26,2971,100457,0.9015,25,0.1679,0.9921,0.4021,0.9692,0.3441,46.0118,26.9212,66.0633,0.43,0.43,0.02,0.49,0.8776,0.02,0.0,0.0,0.51,0.8039,0.12,0.2353,4.0,0.5616,0.0854,0.8689,0.1727,0.0802,0.9939,23.2041,0.43,0.0,0.05,0.12,0.01,0.39,0,51.9,3638.7,413.3,4105.1
