iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.75,100,100,3532,0,100,75,68,462,0,0,1885,1,3,11,879,8,115,58,0.0469,0.1225,33.0,68,0,12,20,0,0,90,2,0.0218,68,3464,0.0335,2,11,1472,45219,0.7808,25,0.1549,0.9953,0.2918,0.9804,0.288,39.6815,22.4823,55.5128,0.7,0.69,0.02,0.76,0.9211,0.03,0.0,0.0,0.7,0.9,0.1,0.1429,2.5714,0.6822,0.0776,0.6898,0.1611,0.0766,0.83,23.9737,0.7,0.0,0.03,0.12,0.0,0.15,0,69.8,1411.6,696.3,2178.4
11,0.75,100,100,3705,0,100,79,71,472,0,0,1977,1,4,6,969,7,110,57,0.0362,0.1028,36.0,71,0,15,14,0,0,91,1,0.0218,71,3634,0.0345,0,12,1572,48924,0.7974,25,0.1545,0.9957,0.3189,0.9776,0.2972,38.2816,20.9493,55.3634,0.62,0.62,0.02,0.74,0.8378,0.04,0.0,0.0,0.59,0.8814,0.07,0.1186,2.5085,0.5914,0.0735,0.7431,0.1636,0.0687,0.7855,24.9054,0.62,0.0,0.04,0.15,0.01,0.18,0,74.0,1445.0,716.9,2236.6
12,0.75,100,100,3730,0,100,73,65,432,0,0,2034,1,1,7,976,9,104,26,0.0415,0.1308,21.0,65,0,17,18,0,0,92,0,0.0158,65,3665,0.0339,0,13,1672,52654,0.8118,25,0.154,0.9959,0.2983,0.9804,0.29,36.8291,22.973,54.5274,0.7,0.71,0.05,0.8,0.875,0.06,0.0,0.0,0.68,0.9559,0.05,0.0735,2.2941,0.6796,0.0735,0.686,0.165,0.0679,0.7454,23.1625,0.7,0.0,0.06,0.09,0.02,0.13,0,76.1,1463.2,685.6,2225.8
13,0.75,100,100,3625,0,100,84,75,495,0,0,1966,0,0,8,911,3,118,55,0.0348,0.0786,,75,0,14,11,0,0,90,0,0.0158,75,3550,0.034,3,14,1772,56279,0.8239,25,0.1547,0.995,0.3241,0.9804,0.3039,39.5556,23.7251,58.8849,0.71,0.7,0.03,0.75,0.9467,0.03,0.0,0.0,0.68,0.9118,0.06,0.0882,2.3971,0.6229,0.0818,0.7234,0.1683,0.072,0.8145,24.0533,0.71,0.0,0.03,0.1,0.01,0.15,0,74.0,1541.8,701.8,2318.7
14,0.75,100,100,3542,0,100,71,65,433,0,0,1902,0,0,11,923,5,122,42,0.0519,0.1377,,65,0,16,19,0,0,98,0,0.007,65,3477,0.0346,1,15,1872,59821,0.8343,25,0.1559,0.9955,0.3169,0.9804,0.3069,38.6912,22.8409,55.9256,0.69,0.69,0.07,0.79,0.8734,0.07,0.01,0.1429,0.77,0.9351,0.1,0.1299,2.3377,0.7482,0.0738,0.6724,0.1589,0.0671,0.7176,24.038,0.69,0.0,0.06,0.08,0.01,0.16,0,73.7,1661.2,695.1,2431.2
15,0.75,100,100,3484,0,100,77,66,461,0,0,1885,0,0,6,899,8,122,67,0.0389,0.1096,,66,0,16,18,0,0,94,0,0.0015,66,3418,0.0355,1,16,1972,63305,0.8434,25,0.1573,0.9949,0.3403,0.9804,0.3134,40.335,23.4987,57.7073,0.7,0.7,0.03,0.84,0.8333,0.03,0.01,0.3333,0.72,0.9306,0.09,0.125,1.7917,0.6914,0.0787,0.6941,0.1649,0.0723,0.7957,23.2738,0.7,0.0,0.08,0.13,0.01,0.08,0,75.8,1769.3,690.6,2536.8
16,0.75,100,100,3599,0,100,79,72,468,0,0,1935,0,0,5,945,7,96,39,0.0352,0.1115,,72,0,14,14,0,0,97,0,0.0158,72,3527,0.0339,0,17,2072,66904,0.8518,25,0.1544,0.9957,0.3183,0.9832,0.3081,39.7245,23.5006,56.7326,0.8,0.8,0.05,0.85,0.9412,0.05,0.0,0.0,0.72,0.9444,0.06,0.0833,1.8194,0.6869,0.0727,0.6568,0.1655,0.068,0.7908,23.0235,0.8,0.01,0.0,0.09,0.0,0.1,1,78.7,2013.6,668.6,2761.8
17,0.75,100,100,3535,0,100,75,70,467,0,0,1887,0,0,14,923,6,116,53,0.0327,0.1176,,70,0,9,21,0,0,96,0,0.0,70,3465,0.0344,1,18,2172,70439,0.8593,25,0.1548,0.9951,0.3435,0.9776,0.3117,38.2415,22.7556,56.5427,0.74,0.73,0.06,0.81,0.9136,0.06,0.0,0.0,0.73,0.9452,0.07,0.0959,2.0959,0.7149,0.0735,0.7287,0.1623,0.0701,0.8156,23.7531,0.74,0.0,0.02,0.05,0.01,0.18,0,71.7,2219.6,704.3,2996.4
18,0.75,100,100,3626,0,100,70,62,414,0,0,1894,0,0,8,1019,6,100,64,0.0703,0.1764,,62,0,20,18,0,0,97,1,0.0292,62,3564,0.0354,1,19,2272,74065,0.8662,25,0.1536,0.9955,0.3324,0.9776,0.3001,38.8703,22.3682,56.3562,0.68,0.69,0.08,0.76,0.8947,0.08,0.01,0.125,0.7,0.9143,0.11,0.1571,2.2143,0.701,0.0708,0.7061,0.1637,0.0641,0.7637,23.8289,0.68,0.0,0.04,0.1,0.0,0.18,0,76.5,2251.2,709.0,3037.9
19,0.75,100,100,3708,0,100,79,76,484,0,0,1983,2,2,3,961,6,127,61,0.0405,0.0965,26.0,76,0,13,11,0,0,94,0,0.0062,76,3632,0.0338,0,20,2372,77773,0.8726,25,0.1529,0.9961,0.3531,0.9748,0.3058,41.9085,22.6326,59.0718,0.73,0.71,0.04,0.84,0.869,0.06,0.01,0.1667,0.74,0.9324,0.12,0.1622,2.3514,0.7208,0.0738,0.7162,0.1618,0.0758,0.7593,23.8452,0.73,0.0,0.03,0.1,0.0,0.14,0,75.8,2401.3,707.4,3185.6
20,0.75,100,100,3541,0,100,83,79,505,0,0,1935,0,0,7,859,3,115,54,0.0297,0.0863,,79,0,8,13,0,0,99,0,0.0015,79,3462,0.034,0,21,2472,81314,0.8781,25,0.1537,0.9954,0.3754,0.9776,0.3129,40.7195,23.0702,56.0136,0.66,0.68,0.03,0.75,0.88,0.06,0.01,0.1667,0.68,0.8971,0.12,0.1765,2.4853,0.6947,0.0708,0.7131,0.1605,0.0721,0.7553,23.6267,0.66,0.01,0.03,0.09,0.01,0.2,0,69.1,2524.9,691.7,3286.6
21,0.75,100,100,3663,0,100,82,73,496,0,0,1983,1,1,10,983,5,117,45,0.032,0.1083,26.0,73,0,12,15,0,0,98,0,0.0162,73,3590,0.0337,1,22,2572,84977,0.8834,25,0.1555,0.9958,0.3646,0.9748,0.3067,42.0229,24.2316,59.6477,0.73,0.73,0.08,0.84,0.869,0.08,0.0,0.0,0.76,0.9342,0.12,0.1579,1.9079,0.7161,0.073,0.6975,0.1573,0.0702,0.8134,24.9167,0.73,0.0,0.06,0.07,0.02,0.12,0,78.4,2656.2,731.7,3467.3
22,0.75,100,100,3763,0,100,75,67,439,0,0,2015,1,1,5,1021,4,107,38,0.0481,0.0891,45.0,67,0,24,9,0,0,99,0,0.0062,67,3696,0.032,0,23,2672,88740,0.8883,25,0.1523,0.9955,0.3355,0.9804,0.3086,42.8264,23.5555,60.1708,0.58,0.58,0.02,0.75,0.7733,0.02,0.0,0.0,0.51,0.9216,0.08,0.1569,2.2745,0.5192,0.0785,0.8124,0.1692,0.0866,0.8852,24.5067,0.58,0.0,0.1,0.11,0.02,0.19,0,73.3,2686.8,741.6,3502.5
23,0.75,100,100,3739,0,100,75,67,445,0,0,2027,0,0,12,982,3,96,43,0.0415,0.1155,,67,0,15,18,0,0,99,0,0.0023,67,3672,0.0336,0,24,2772,92479,0.8928,25,0.1583,0.9951,0.3182,0.9804,0.306,41.8378,22.4896,58.021,0.78,0.78,0.04,0.83,0.9398,0.05,0.01,0.2,0.77,0.9221,0.07,0.0909,1.9481,0.7306,0.0713,0.6669,0.1607,0.0681,0.7147,24.6627,0.78,0.0,0.03,0.07,0.01,0.11,0,78.6,2729.1,715.0,3523.6
24,0.75,100,100,3551,0,100,77,68,461,0,0,1881,0,0,8,937,7,103,39,0.0391,0.1283,,68,0,14,18,0,0,100,0,0.0158,68,3483,0.0342,0,25,2872,96030,0.8968,25,0.1571,0.995,0.3364,0.9804,0.3117,40.9639,22.6153,57.0845,0.67,0.63,0.01,0.83,0.8072,0.01,0.0,0.0,0.54,0.9259,0.05,0.0926,2.5,0.5153,0.0793,0.8052,0.1633,0.0784,0.9483,25.1325,0.67,0.0,0.08,0.11,0.0,0.14,0,78.8,2903.6,730.4,3713.5
25,0.75,100,100,3527,0,100,74,70,460,0,0,1919,0,0,10,907,8,107,48,0.0432,0.1069,,70,0,12,18,0,0,100,0,0.0053,70,3457,0.0337,0,26,2972,99557,0.9004,25,0.1547,0.9948,0.342,0.9832,0.309,40.6732,21.3677,57.3032,0.79,0.8,0.02,0.9,0.8778,0.03,0.01,0.3333,0.74,0.9459,0.07,0.0946,1.7568,0.7012,0.0754,0.6669,0.1623,0.0759,0.7533,23.2222,0.79,0.0,0.05,0.08,0.01,0.07,0,73.0,2898.7,677.4,3649.9
