iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
31,860,0.469,0.0,30.0,0.0,0.0030864835716784,0.33842191100120544,0.3241395056247711,-0.07691990584135056,-0.09989990293979645,0.009982593357563019,0.0008133766241371632,0.00227867322973907,0.004402863327413797,0.21946151554584503,64,0.0079,0.0,0,0,2,0,0,0.0,,,,,,,0.45520463585853577,0.692072331905365,15.196744918823242,0.00698,,-1.0
32,890,0.468,0.0,30.0,0.0,0.002978712320327759,0.33976468443870544,0.3411196768283844,-0.08463514596223831,-0.09999999403953552,0.004919029772281647,5.078934918856248e-05,0.002458319766446948,0.010951993986964226,0.23765821754932404,64,0.0393,0.0,1,0,1,0,0,0.0,,,,,,,0.4207723140716553,0.7572306394577026,15.285345077514648,0.00674,,-1.0
33,920,0.467,0.0,30.0,0.0,0.0041898260824382305,0.25029677152633667,0.25827908515930176,-0.07360409200191498,-0.09999369084835052,0.012045461684465408,4.118301148992032e-05,0.0038107633590698242,0.004514985717833042,0.21830539405345917,64,0.0189,0.0,1,0,1,0,0,0.0,,,,,,,0.45804497599601746,0.6969708800315857,13.94503402709961,0.00652,,-1.0
34,950,0.466,0.0,30.0,0.0,0.0022153379395604134,0.26350775361061096,0.26683610677719116,-0.07021089643239975,-0.0999109223484993,0.013066552579402924,1.1193549653398804e-05,0.0021051913499832153,0.00711146229878068,0.23038963973522186,64,0.0102,0.0,1,0,1,0,0,0.0,,,,,,,0.43366068601608276,0.7467026710510254,16.564701080322266,0.00632,,-1.0
35,950,0.465,0.0,0.0,0.0,0.002608739770948887,0.3042706847190857,0.3027866780757904,-0.05605601891875267,-0.0995577871799469,0.020301368087530136,2.0305982616264373e-05,0.002484185853973031,0.005757451523095369,0.20972831547260284,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.47469884157180786,0.7283081412315369,15.315774917602539,0.00632,,-1.0
36,1011,0.464,0.0,30.0,0.0,0.005776774138212204,0.29105621576309204,0.300820916891098,-0.08461717516183853,-0.09988299012184143,0.005304878111928701,5.106587195768952e-06,0.0022984647657722235,0.009301920421421528,0.24200735986232758,64,0.0045,0.0,0,0,1,0,1,1.0,,,,,,,0.41272708773612976,0.7337074279785156,15.535821914672852,0.00692,,-1.0
37,1042,0.463,0.0,0.0,0.0,0.007793680764734745,0.24294081330299377,0.2548035979270935,-0.07949002832174301,-0.09975654631853104,0.008344392292201519,7.274674317159224e-06,0.0022752846125513315,0.007140918169170618,0.2200499325990677,64,,0.0,1,0,0,0,1,1.0,,,,,,,0.4533359706401825,0.7069901823997498,15.370055198669434,0.00768,,-1.0
38,1042,0.462,0.0,0.0,0.0,0.0030242279171943665,0.24517390131950378,0.24318763613700867,-0.04478713124990463,-0.09999999403953552,0.02554307132959366,3.214115713490173e-05,0.002208651741966605,0.008189153857529163,0.22348375618457794,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4474598169326782,0.8154827356338501,15.294983863830566,0.00768,,-1.0
39,1042,0.461,0.0,0.0,0.0,0.007272644434124231,0.24384577572345734,0.25396740436553955,-0.08410003036260605,-0.09952469915151596,0.006352058611810207,9.599631084711291e-06,0.001341343973763287,0.005421907640993595,0.21567152440547943,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4614642560482025,0.7068719863891602,15.406257629394531,0.00768,,-1.0
40,1042,0.46,0.0,0.0,0.0,0.0021725078113377094,0.2779178023338318,0.2809308171272278,-0.059485528618097305,-0.0994705855846405,0.01792992278933525,0.0001692525838734582,0.0016862412448972464,0.00791191216558218,0.23946316540241241,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4153899550437927,0.6623131632804871,14.82398796081543,0.00768,,-1.0
41,1072,0.459,0.0,30.0,0.0,0.0024695838801562786,0.3074987828731537,0.3025591969490051,-0.07486753165721893,-0.09951140731573105,0.010259270668029785,9.979156857298221e-06,0.0032164331059902906,0.008230715990066528,0.2232031375169754,64,0.0086,0.0,1,0,1,0,0,0.0,,,,,,,0.44583338499069214,0.8372414112091064,16.55630874633789,0.00746,,-1.0
42,1102,0.458,0.0,30.0,0.0,0.00315070035867393,0.26913100481033325,0.26657232642173767,-0.08285000920295715,-0.0998108834028244,0.0065689850598573685,3.1692728953203186e-05,0.002553988713771105,0.007582432124763727,0.22182734310626984,64,0.0095,0.0,1,0,1,0,0,0.0,,,,,,,0.4499485492706299,0.7261142134666443,14.201831817626953,0.00726,,-1.0
43,1132,0.457,0.0,30.0,0.0,0.0041093905456364155,0.27987509965896606,0.2804882824420929,-0.06863810867071152,-0.09998409450054169,0.013070240616798401,1.742302265483886e-05,0.0014556028181686997,0.010376174002885818,0.24846553802490234,64,0.0051,0.0,1,0,1,0,0,0.0,,,,,,,0.4024062752723694,0.6556222438812256,15.383142471313477,0.00707,,-1.0
44,1162,0.456,0.0,30.0,0.0,0.0035705927293747663,0.33426570892333984,0.3559912443161011,-0.0819215327501297,-0.09920066595077515,0.007037458475679159,3.4814011087291874e-06,0.0024458393454551697,0.006401480175554752,0.24028538167476654,64,0.0046,0.0,1,0,1,0,0,0.0,,,,,,,0.4128451943397522,0.7375186681747437,16.65250015258789,0.00688,,-1.0
45,1222,0.455,0.0,30.0,0.0,0.004241877235472202,0.33264046907424927,0.3070157468318939,-0.0276483204215765,-0.09994055330753326,0.01341155543923378,0.0428040437400341,0.0021672158036381006,0.00533015513792634,0.2009422332048416,64,0.0069,0.0,0,0,2,0,0,0.0,,,,,,,0.49735963344573975,0.7911819815635681,15.277654647827148,0.00655,,-1.0
46,1247,0.454,0.0,25.0,0.0,0.0038426616229116917,0.2833378314971924,0.2776241600513458,-0.079890176653862,-0.09955340623855591,0.007641434203833342,5.458934174384922e-05,0.0025345394387841225,0.008651533164083958,0.23091988265514374,64,0.1209,0.0,1,0,0,1,0,0.0,,,,,,,0.43111667037010193,0.6419809460639954,14.217205047607422,0.00642,,-1.0
47,1277,0.453,0.0,30.0,0.0,0.005481491796672344,0.2938790023326874,0.31221145391464233,-0.07955720275640488,-0.09881827235221863,0.007879722863435745,9.061570017365739e-05,0.0026592486537992954,0.006822026800364256,0.2517486810684204,64,0.0076,0.0,1,0,1,0,0,0.0,,,,,,,0.3925274610519409,0.6650027632713318,14.759915351867676,0.00626,,-1.0
48,1307,0.452,0.0,30.0,0.0,0.001949989702552557,0.26653534173965454,0.26561203598976135,-0.08525821566581726,-0.09998250007629395,0.0059608034789562225,4.465882739168592e-06,0.0016725516179576516,0.005596427712589502,0.21465273201465607,64,0.0167,0.0,1,0,1,0,0,0.0,,,,,,,0.46578723192214966,0.7949554324150085,16.111589431762695,0.00612,,-1.0
49,1337,0.451,0.0,30.0,0.0,0.004078328609466553,0.2690927982330322,0.2846027612686157,-0.05122038349509239,-0.09969522058963776,0.022389888763427734,3.623354859882966e-05,0.0032967855222523212,0.007317658048123121,0.2384519875049591,64,0.0046,0.0,1,0,1,0,0,0.0,,,,,,,0.4180935025215149,0.8006560802459717,16.377683639526367,0.00598,,-1.0
50,1367,0.45,0.0,30.0,0.0,0.003413607133552432,0.28726720809936523,0.29632431268692017,-0.07947400212287903,-0.0995473861694336,0.008007893338799477,0.0002647346700541675,0.0015647978289052844,0.007585738319903612,0.2720615863800049,64,0.0061,0.0,1,0,1,0,0,0.0,0.3037,0.7281,0.0,0,20,0,0.3659002184867859,0.7820743918418884,15.477041244506836,0.00585,0.0,0.0
51,1398,0.449,0.0,0.0,0.0,0.002504250966012478,0.25165191292762756,0.23852333426475525,-0.05203323811292648,-0.09985651075839996,0.018568117171525955,0.007230481132864952,0.0019309648778289557,0.006913107819855213,0.24012719094753265,64,,0.0,1,0,0,0,1,1.0,,,,,,,0.41584840416908264,0.8710298538208008,16.142616271972656,0.00644,,0.0
52,1428,0.448,0.0,30.0,0.0,0.0032966467551887035,0.30578723549842834,0.30443888902664185,-0.08549705147743225,-0.0998048484325409,0.004662353079766035,2.5210676540154964e-05,0.0011956646339967847,0.009915756992995739,0.26215484738349915,64,0.0081,0.0,1,0,1,0,0,0.0,,,,,,,0.38070952892303467,0.7279442548751831,14.701282501220703,0.0063,,0.0
53,1458,0.447,0.0,30.0,0.0,0.006549574434757233,0.25364646315574646,0.24657858908176422,-0.07852587103843689,-0.09981120377779007,0.007866648957133293,3.925120836356655e-06,0.002698516706004739,0.011096219532191753,0.28629598021507263,64,0.0046,0.0,1,0,1,0,0,0.0,,,,,,,0.3486294448375702,0.7092200517654419,15.860269546508789,0.00617,,0.0
54,1518,0.446,0.0,30.0,0.0,0.005327520426362753,0.3033791780471802,0.3202943801879883,-0.08140336722135544,-0.0997762456536293,0.00751861184835434,6.5264921431662515e-06,0.002143199322745204,0.006658254656940699,0.24743643403053284,64,0.0049,0.0,0,0,2,0,0,0.0,,,,,,,0.403239905834198,0.7768446207046509,16.373743057250977,0.00593,,0.0
55,1518,0.445,0.0,0.0,0.0,0.0022828164510428905,0.3036954998970032,0.2978084087371826,-0.08067604154348373,-0.09944575279951096,0.008438731543719769,1.4948651369195431e-05,0.0018099306616932154,0.0037546055391430855,0.22815649211406708,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.43586641550064087,0.7624079585075378,14.855938911437988,0.00593,,0.0
56,1518,0.444,0.0,0.0,0.0,0.0017379968194290996,0.2991599440574646,0.30288565158843994,-0.08379796892404556,-0.09910710155963898,0.006413797847926617,0.00010591182217467576,0.0023657430429011583,0.004751243628561497,0.23885391652584076,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4149276614189148,0.7245817184448242,15.40666675567627,0.00593,,0.0
57,1579,0.443,0.0,30.0,0.0,0.0036644404754042625,0.27201518416404724,0.25021636486053467,-0.08455324918031693,-0.09949728846549988,0.005636109039187431,6.170397227833746e-06,0.002706175670027733,0.0073312935419380665,0.23296919465065002,64,0.0513,0.0,0,0,1,0,1,1.0,,,,,,,0.42708346247673035,0.7936722636222839,17.147106170654297,0.00633,,0.0
58,1579,0.442,0.0,0.0,0.0,0.0036364239640533924,0.2326253056526184,0.23955059051513672,-0.08680257946252823,-0.09999999403953552,0.005167815834283829,1.8605313016450964e-05,0.0019696198869496584,0.005686353426426649,0.2311614751815796,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4325980544090271,0.6529814004898071,15.305046081542969,0.00633,,0.0
59,1609,0.441,0.0,30.0,0.0,0.0036927317269146442,0.31573790311813354,0.3173300623893738,-0.08405885845422745,-0.09900034964084625,0.005898822098970413,6.324577952909749e-06,0.0022254677023738623,0.006275042425841093,0.281007319688797,64,0.0161,0.0,1,0,1,0,0,0.0,,,,,,,0.35230523347854614,0.6364047527313232,15.134389877319336,0.00622,,0.0
60,1639,0.44,0.0,30.0,0.0,0.003828573739156127,0.3258577287197113,0.33688884973526,-0.07943095266819,-0.0984664112329483,0.008624445647001266,1.1764499504351988e-05,0.0015986558282747865,0.0035496102645993233,0.25803104043006897,64,0.007,0.0,1,0,1,0,0,0.0,,,,,,,0.3816068768501282,0.7280335426330566,15.71619701385498,0.0061,,0.0
61,1670,0.439,0.0,0.0,0.0,0.003644530661404133,0.2491922527551651,0.2506633698940277,-0.06888122111558914,-0.09983965754508972,0.014426982030272484,4.9900467274710536e-05,0.0021549935918301344,0.004109129309654236,0.2178301066160202,64,,0.0,1,0,0,0,1,1.0,,,,,,,0.45833730697631836,0.7514488101005554,14.555811882019043,0.00659,,0.0
62,1729,0.438,0.0,29.5,0.0,0.00463322876021266,0.26442331075668335,0.2596336603164673,0.12118321657180786,-0.09958557784557343,0.1089957058429718,8.968612746684812e-06,0.002532773884013295,0.005536820739507675,0.2502872049808502,64,0.016,0.0,0,0,1,1,0,0.0,,,,,,,0.39788520336151123,0.9238626956939697,16.122039794921875,0.00636,,0.0
63,1791,0.437,0.0,0.0,0.0,0.003168164286762476,0.2767057418823242,0.2858807146549225,-0.08194153010845184,-0.09934446215629578,0.007230242248624563,1.9291934222565033e-05,0.0022792371455579996,0.005846322514116764,0.24860863387584686,64,,0.0,0,0,0,0,2,1.0,,,,,,,0.3996018171310425,0.6385693550109863,14.773513793945312,0.00726,,0.0
64,1852,0.436,0.0,30.0,0.0,0.0034607811830937862,0.26785415410995483,0.26181599497795105,-0.01041464414447546,-0.09986723959445953,0.04298469424247742,9.418005356565118e-05,0.0029094612691551447,0.0067780534736812115,0.21758459508419037,64,0.0045,0.0,0,0,1,0,1,1.0,,,,,,,0.4589811861515045,0.7553112506866455,14.348787307739258,0.00756,,0.0
65,1852,0.435,0.0,0.0,0.0,0.0011350195854902267,0.2951541841030121,0.29535508155822754,-0.07803642004728317,-0.09936936944723129,0.009317315183579922,1.0906756870099343e-05,0.0012947808718308806,0.0053748139180243015,0.24028027057647705,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4135560989379883,0.7262596487998962,15.499605178833008,0.00756,,0.0
