iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
10,0.7,100,100,2761,0,100,92,90,542,0,0,2005,0,0,9,0,0,0.0138,0.0407,,90,0,0,10,0,0,90,0,0.0,90,2671,0.031,0,11,1472,36705,0.73,25,0.0649,0.9957,0.2689,0.9776,0.253,0.39,0.39,0.01,0.47,0.8298,0.01,0.0,0.0,0.0783,0.5263,0.1919,0.0738,0.7632,28.5319,0.39,0.01,0.05,0.29,0.04,0.22,0,46.5,760.8,522.1,1329.6
11,0.6667,100,100,2699,0,100,86,86,512,0,0,1848,1,1,10,0,0,0.021,0.082,23.0,86,0,0,14,0,0,91,0,0.01,86,2613,0.0319,0,12,1572,39404,0.7485,25,0.0657,0.9948,0.2837,0.986,0.273,,,,,,,,,,,,,,,,,,,,,0,45.2,834.6,0.0,879.9
12,0.6333,100,100,2854,0,100,87,85,529,0,0,1929,0,0,7,0,0,0.0138,0.0514,,85,0,2,13,0,0,92,0,0.0,85,2769,0.0312,1,13,1672,42258,0.7654,25,0.0669,0.9955,0.3032,0.9748,0.266,0.46,0.46,0.04,0.5,0.92,0.04,0.0,0.0,0.083,0.6301,0.1757,0.0809,0.8081,27.06,0.46,0.0,0.04,0.2,0.06,0.24,0,52.5,897.4,551.7,1501.9
13,0.6,100,100,2666,0,100,83,84,498,0,0,1689,1,6,10,0,0,0.0237,0.0805,19.0,84,0,0,16,0,0,90,0,0.0158,84,2582,0.0329,0,14,1772,44924,0.7794,25,0.0655,0.9953,0.309,0.9748,0.2709,,,,,,,,,,,,,,,,,,,,,0,48.2,952.7,0.0,1001.2
14,0.5667,100,100,2782,0,100,89,88,533,0,0,1725,1,4,7,0,0,0.0168,0.0585,29.0,88,0,1,11,0,0,98,0,0.0,88,2694,0.0315,1,15,1872,47706,0.7922,25,0.0679,0.9949,0.3005,0.972,0.2697,0.42,0.42,0.02,0.49,0.8571,0.02,0.0,0.0,0.0798,0.6066,0.1839,0.0728,0.7833,28.2245,0.42,0.0,0.04,0.31,0.02,0.21,0,46.2,1012.4,521.0,1579.9
15,0.5333,100,100,2776,0,100,84,84,499,0,0,1617,2,4,9,0,0,0.0255,0.0666,27.5,84,0,1,15,0,0,94,0,0.0,84,2692,0.033,0,16,1972,50482,0.8037,25,0.064,0.9964,0.3053,0.9776,0.2733,,,,,,,,,,,,,,,,,,,,,0,49.9,1074.3,0.0,1124.4
16,0.5,100,100,2798,0,100,87,87,531,0,0,1584,0,0,7,0,0,0.0184,0.0678,,87,0,1,12,0,0,97,0,0.0158,87,2711,0.0314,3,17,2072,53280,0.814,25,0.0659,0.9963,0.3201,0.9832,0.2841,0.33,0.31,0.0,0.45,0.7333,0.01,0.01,1.0,0.0997,0.6505,0.1922,0.0933,0.8887,30.1556,0.33,0.0,0.11,0.19,0.15,0.22,0,47.8,1138.9,594.7,1781.7
17,0.4778,100,100,2765,0,100,88,87,526,0,0,1514,0,0,6,0,0,0.0194,0.0598,,87,0,1,12,0,0,96,0,0.0,87,2678,0.0307,1,18,2172,56045,0.8231,25,0.0672,0.996,0.3301,0.9748,0.2802,,,,,,,,,,,,,,,,,,,,,0,45.6,1259.6,0.0,1305.6
18,0.4556,100,100,2833,0,100,83,83,498,0,0,1503,0,0,11,0,0,0.0231,0.0835,,83,0,1,16,0,0,97,0,0.01,83,2750,0.0316,1,19,2272,58878,0.8317,25,0.067,0.9958,0.3271,0.9804,0.2882,0.32,0.33,0.01,0.39,0.8205,0.01,0.0,0.0,0.1054,0.7165,0.181,0.0888,1.1077,27.4872,0.32,0.0,0.05,0.28,0.1,0.25,0,45.7,1290.3,547.2,1883.6
19,0.4333,100,100,2856,0,100,84,84,503,0,0,1418,2,5,7,0,0,0.0194,0.0617,28.5,84,0,2,14,0,0,94,0,0.0,84,2772,0.0314,5,20,2372,61734,0.8394,25,0.0676,0.9965,0.3552,0.9748,0.2901,,,,,,,,,,,,,,,,,,,,,0,47.1,1415.4,0.0,1462.8
20,0.4111,100,100,2759,0,100,82,79,485,0,0,1367,0,0,12,0,0,0.0245,0.084,,79,0,3,18,0,0,99,0,0.0,79,2680,0.0316,0,21,2472,64493,0.8463,25,0.0646,0.9973,0.3323,0.972,0.2846,0.39,0.38,0.02,0.43,0.907,0.03,0.01,0.3333,0.0899,0.4947,0.1718,0.0776,0.7689,32.0233,0.39,0.0,0.03,0.27,0.05,0.26,0,44.9,1488.3,567.9,2103.2
21,0.3889,100,100,2834,0,100,79,81,473,0,0,1343,1,1,6,0,0,0.0237,0.0813,32.0,81,0,2,17,0,0,98,0,0.0,81,2753,0.0303,1,22,2572,67327,0.8528,25,0.068,0.9966,0.3601,0.972,0.3001,,,,,,,,,,,,,,,,,,,,,0,48.9,1469.5,0.0,1518.7
