scene,0,1,2,3
618,0,0,,
619,0,1,,
624,1,0,,
625,1,1,0,0
626,0,,,
627,1,0,0,
628,1,1,,
629,1,0,0,0
630,0,1,1,1
631,1,1,0,1
634,1,,,
636,1,1,0,1
637,1,0,1,0
638,1,1,1,
639,1,1,1,
641,0,1,,
642,1,1,0,
643,0,1,1,
644,1,1,,
645,1,,,
646,1,,,
647,0,,,
648,1,1,,
649,1,,,
650,0,1,,
651,1,1,,
652,1,,,
653,1,,,
654,1,1,,
655,1,1,,
656,1,0,1,0
657,1,1,1,0
658,1,1,1,
659,1,1,1,1
660,1,0,,
661,1,0,,
662,0,1,1,
663,1,1,0,
664,1,1,1,
665,1,1,0,1
666,1,0,0,
667,1,1,0,1
668,1,1,0,1
669,1,1,1,
670,0,1,0,
671,0,1,0,
672,1,1,1,1
673,1,0,1,1
674,1,1,0,1
675,1,1,1,1
676,0,1,1,
677,1,0,,
678,1,,,
679,1,1,,
680,1,1,0,1
681,1,1,1,1
682,1,0,1,1
683,1,1,0,0
685,1,1,1,
686,1,0,1,
687,1,1,1,
688,0,0,1,
689,0,0,0,
690,1,0,0,
691,1,0,1,
696,0,1,,
697,1,1,0,
698,1,0,1,
699,0,1,1,
700,1,0,1,1
701,0,1,1,0
702,1,0,0,1
703,0,1,0,1
704,0,,,
705,0,,,
708,1,1,1,0
709,1,1,0,1
710,1,0,1,1
711,1,1,0,1
712,1,0,,
713,1,0,1,
714,0,0,1,
715,1,,,
716,1,1,,
717,0,0,,
718,1,1,,
719,1,,,
