scene,0,1,2,3,4,5
582,0,1,,,,
583,0,,,,,
585,1,1,,,,
586,1,1,,,,
587,1,1,1,,,
588,1,,,,,
589,1,,,,,
590,1,1,,,,
591,1,1,,,,
592,1,1,1,,,
595,0,1,0,1,,
596,1,0,1,1,,
597,1,,,,,
598,0,1,1,1,,
599,1,0,1,1,,
600,0,0,1,1,,
601,1,1,1,1,,
602,0,0,1,1,,
603,1,0,,,,
604,1,1,1,1,,
605,1,1,,,,
606,1,1,,,,
608,1,0,,,,
609,1,0,1,,,
610,1,1,,,,
611,0,,,,,
612,1,,,,,
613,0,,,,,
614,1,1,,,,
615,0,,,,,
616,1,0,1,,,
617,1,,,,,
618,0,0,,,,
619,1,,,,,
624,0,0,1,,,
625,1,0,1,0,1,
626,0,0,,,,
627,0,0,1,,,
628,0,0,0,,,
629,0,0,0,,,
630,1,1,1,,,
631,1,0,0,1,,
634,1,,,,,
636,0,0,1,1,,
637,1,0,1,1,,
638,1,1,1,1,,
639,1,1,,,,
641,1,0,,,,
642,1,1,,,,
643,0,1,,,,
644,1,,,,,
647,1,,,,,
648,1,0,0,0,,
649,1,1,,,,
650,1,,,,,
651,1,1,,,,
652,1,,,,,
653,1,1,,,,
654,1,,,,,
655,1,1,,,,
656,1,,,,,
657,1,1,1,,,
658,1,1,,,,
659,1,1,1,,,
660,0,,,,,
661,1,,,,,
662,1,1,,,,
663,1,0,1,0,,
664,1,1,0,,,
665,1,0,0,1,,
666,1,1,0,1,,
667,1,1,1,0,,
668,1,0,0,0,1,
669,1,1,1,,,
670,1,1,0,,,
671,1,1,0,1,1,
672,1,1,1,,,
673,1,1,1,1,,
674,1,1,0,0,,
675,0,1,1,,,
676,1,1,,,,
678,1,,,,,
679,1,1,,,,
680,0,1,1,,,
681,1,1,0,0,,
682,1,1,1,1,,
683,0,0,,,,
685,1,1,0,,,
686,1,1,,,,
687,1,1,,,,
688,0,,,,,
689,1,0,,,,
690,1,1,,,,
691,1,1,,,,
696,0,1,0,,,
697,1,1,1,1,,
698,1,0,1,,,
699,1,0,0,1,,
700,1,1,0,,,
701,1,0,0,,,
702,1,0,0,,,
703,0,1,1,1,,
704,1,,,,,
705,0,,,,,
708,1,0,0,0,,
709,1,1,1,,,
710,1,1,0,1,,
711,1,1,0,,,
712,1,1,0,,,
713,1,1,,,,
714,1,0,0,,,
715,1,,,,,
716,1,1,,,,
717,0,,,,,
718,1,,,,,
